documentId,accessionNumber,filingType,source
D001,0000320193-23-000106,10-K,form10k-sample/0000320193-23-000106.pdf
D002,0000950170-23-035122,10-K,form10k-sample/0000950170-23-035122.pdf
D003,0001004980-23-000029,10-K,form10k-sample/0001004980-23-000029.pdf
D004,0001018724-23-000004,10-K,form10k-sample/0001018724-23-000004.pdf
D005,0001045810-23-000017,10-K,form10k-sample/0001045810-23-000017.pdf
D006,0001096906-23-001489,10-K,form10k-sample/0001096906-23-001489.pdf
D007,0001633917-23-000033,10-K,form10k-sample/0001633917-23-000033.pdf
